# LAMMPS data file written by OVITO Basic 3.7.5
4850 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 63.546  # Cu
2 1.00794  # H
3 12.0107  # C
4 15.9994  # O

Atoms  # charge

492 2 0.0 36.3586086 6.006204 3.1558914
493 2 0.0 36.3586086 19.177704 16.3273914
494 2 0.0 36.3586086 20.336796 23.1871086
495 2 0.0 36.3586086 7.165296 10.0156086
496 2 0.0 42.6703914 19.177704 10.0156086
497 2 0.0 29.4988914 16.3273914 20.336796
498 2 0.0 29.4988914 3.1558914 7.165296
499 2 0.0 29.4988914 10.0156086 6.006204
500 2 0.0 29.4988914 23.1871086 19.177704
501 2 0.0 49.5301086 10.0156086 20.336796
502 2 0.0 49.5301086 3.1558914 19.177704
503 2 0.0 46.679796 3.1558914 16.3273914
504 2 0.0 33.508296 3.1558914 3.1558914
505 2 0.0 32.349204 3.1558914 10.0156086
506 2 0.0 45.520704 3.1558914 23.1871086
507 2 0.0 46.679796 23.1871086 10.0156086
508 2 0.0 45.520704 23.1871086 3.1558914
509 2 0.0 33.508296 16.3273914 10.0156086
510 2 0.0 32.349204 10.0156086 23.1871086
511 2 0.0 45.520704 10.0156086 10.0156086
512 2 0.0 46.679796 10.0156086 3.1558914
513 2 0.0 33.508296 10.0156086 16.3273914
514 2 0.0 32.349204 16.3273914 3.1558914
515 2 0.0 42.6703914 3.1558914 6.006204
516 2 0.0 36.3586086 3.1558914 20.336796
517 2 0.0 36.3586086 16.3273914 7.165296
518 2 0.0 36.3586086 23.1871086 6.006204
519 2 0.0 36.3586086 10.0156086 19.177704
520 2 0.0 42.6703914 10.0156086 7.165296
521 2 0.0 29.4988914 20.336796 10.0156086
522 2 0.0 29.4988914 7.165296 23.1871086
523 2 0.0 29.4988914 6.006204 16.3273914
524 2 0.0 29.4988914 19.177704 3.1558914
525 2 0.0 49.5301086 7.165296 3.1558914
526 2 0.0 49.5301086 6.006204 10.0156086
527 2 0.0 10.0156086 32.349204 23.1871086
528 2 0.0 10.0156086 45.520704 10.0156086
529 2 0.0 23.1871086 45.520704 23.1871086
530 2 0.0 16.3273914 46.679796 23.1871086
531 2 0.0 16.3273914 33.508296 10.0156086
